,sentence,extract
30,"[13] G. Sigworth: AFS Trans., 2008, vol.",0
31,It was found that Al was reduced before - 1.5 V in the ionic liquid.,0
32,"Due to coarsening, phase transformation and/or dissolution, they lose their strengthening effect at elevated temperatures.",0
33,"The maximum residual compressive stress is 119.58 MPa, which is larger than that of the maximum residual tensile stress with a value of 86.02 MPa.",0
34,"As a result, we get an excess amount of the free alkali responsible for the etching of the formed oxide layer and, hence, for the deterioration of its quality.",0
35,"Their study reveals that above a size of 10 nm, alloy phases are formed which is essentially the same as the bulk phase, whereas below 10 nm in size a liquid phase formation was observed.",0
36,"If you do not receive an email within 10 minutes, your email address may not be registered, and you may need to create a new Wiley Online Library account.",0
37,"All three starting materials were analysed by XRD and Rietveld refinement with (i) CP aluminium powder exhibiting only sharp reflections of face centred cubic (fcc) Al; (ii) aluminium alloy AlCr6Fe2(Mn, Si, Ti) consisting of not only fcc Al, but also of intermetallic θ(Cr-Al) phase [36], otherwise known as Al13Cr2 or Al45Cr7, with space group C2/m and of cubic α(AlMnSi) phase [37] with Pm3 space group.",0
38,The precipitation of Ω phase can improve creep resistance of Al alloys mainly because the thermal stability of Ω phase is superior to that of θ' phase at high temperatures (Ref 7).Adding minor Sc to aluminum alloys can form Al3Sc phase and cause grain refinement.,1
39,"Hou et al. [9] found that the oxidation behaviour of β-SiAlON synthesized from coal gangue was promoted by Fe2O3, which promotes the glass phase to form and holes to generate, providing paths for oxygen quick diffusing.",1
40,"A 2018, 134, 145.",0
41,"For AA2024 specimens (Fig. 8), the strength rises more than 70 MPa from 139 MPa after the one pass; then, it reaches the maximum value of 211 MPa after three passes.",0
42,The privileged growth of β phases concentrated around porosity and parallel to the melt-pore interface can cause growth of extra-large β-Al5FeSi.,0
43,The Vickers hardness of CG alloy was increased with the increase of post-aging time.,0
44,CASGoogle Scholar21H.,0
45,"71, pp.",0
46,"However, the poor dislocation strengthening effect of SZ resulted in its lower YS compared with that of BM.",0
47,"(a) Bright field and (b) corresponding dark field TEM micrographs of the squeeze-cast NC3 nanocomposite showing the distribution of the secondary precipitates present along with the SiC nanoparticles; bright field TEM micrographs of the (c) β-Mg17Al12, (d) Al2Ca, and (e) Ca2Sb phases with EDS spectra corresponding to them.",0
48,ANOVA for the residual peel strength results (unit: N/mm).,0
49,"Unlike the PS, the UTS does not change by the Si addition though the EF is improved by the addition of high Si content.",0
50,"Al17Pt2 energy difference with respect to the Dh + Thcp structure (ΔE in meV per atom), calculated at the PBE/US theory level using QE, total magnetisation (M in μB) and absolute magnetisation (|M| in μB) for the isomers depicted in Fig. 6",0
51,SEM cross-sectional images and EDX mapping of aluminised SS309 after exposure to humidified air at 850 degC for 1000 h.,0
52,It seems possible that Cu in the Al2Cu phase around the blocky phase would be including during the EDS analysis.,0
53,"Compos A Appl Sci Manuf 124:105372. https://doi.org/10.1016/j.compositesa.2019.03.018Article Google Scholar 19.ISO 4587 (2003) Adhesives -- determination of tensile lap-shear strength of rigid-to-rigid bonded assemblies20.Naito K, Onta M, Kogo Y (2012) The effect of adhesive thickness on tensile and shear strength of polyimide adhesive.",0
54,"According to Ashbrook [9], even in microstructures composed of brittle phases, the work of fracture increases due to crack deviation caused by solid phase interfaces.",0
55,"About this articleCite this articleRibeiro, F.S.F., Lopes, J.C., Garcia, M.V.",0
56,"The increment in critical resolved shear stress (CRSS) due to Orowan strengthening for {111}αΩ phase, as proposed in Nie et al.' work [11], is modeled by assuming Ω phase is shear-resistant plate.",0
57,"The T6 condition, however, possessed a relatively high yield strength but also low resistance to SCC (Fig. 3).",0
58,"In recent years, graphene has become a research hotspot due to its large specific surface area, high mechanical properties [5], Young's modulus [6], electrical [7] and thermal conductivity [8], etc., which let it to be used as a good reinforcement for alloy.",1
59,"The higher precipitate contribution to yield strength of the un-deformed condition annealed for 100 min as compared to condition of 10% pre-deformation and 100 min and 300 min annealing in sequential mode, despite its lower precipitate number density and volume fraction, may be attributed to a higher hardness potential of the β''-phase formed in the un-deformed condition, as compared to the post-β''-phases formed in the deformed samples (see Table 2).",1
60,"The following conclusions are drawn:(1)The as-cast AXM070305 alloy contains planar C15-Al2Ca phase, coarse lamellar and spherical particle C36-(Mg, Al)2Ca phase and long rod shape Al8Mn5 phase.",0
61,"This is because during tensile deformation the moving dislocation is hindered by the hard κII phase, and dense dislocations are formed around hard κII phase.",0
62,R stands for the stacking form of rhombohedral (monoclinically modified; M18R) phase of β1'and H refers that of hexagonal (orthorhombic) phase of γ1' [13].,0
63,"Alloying elements are added to Mg to improve its strength, ductility, formability, and corrosion resistance.",0
64,The lower hardness of NS and NSS alloys may be ascribed to the formation of the soft β-Sn phase.Fig.,1
65,"Further T6 treatment could lead to dissolution of η phase and precipitation of η' phase in the FSP samples, thereby improving their mechanical properties.",1
66,"However, when the overall amount of Mn and Fe is more than 1.5 wt%, depending on the Si contents, there is a sharp increase in the risk of obtaining colonies of large primary α-AlFeMnSi crystals.8 The morphological changes of the Fe-bearing phases results in the unacceptable mechanical performance of the cast components.",1
67,"Shihao Wang, Yun Wang & Zhongyun Fan",0
68,"The phenomenon hence reaffirmed the ability of LPSO phases in imparting high strength to Mg-Y-Zn-based alloys consistent with numerous studies reported in literatures [6, 25, 26, 27, 28].",1
69,"[29] Iridium is a known impurity found in some gold ores, in particular in California, and can be detrimental to their plastic behavior (e.g., coinage) when present in large amounts.",0
70,"However, only the polyhedral Al-(Cr, Fe)-Si phase structurally similar to Al13Cr4Si4 and acicular π phase were observed in the inter-dendritic region.",0
71,"However, the harmful effect of the Mg2Al3 intermetallics on the strength of welded joint is limited due to the uneven distribution of Mg2Al3-based areas, the formation of Al-riched precipitated particles in Mg2Al3 matrix, and the formation of tiny reticular Al3Ni phases formed at grain boundaries of Mg2Al3 matrix.",1
72,In the case of AA2024/24vol.% SiCp composite (absence of θ' and β' phases) GPII zones precipitate in a greater extend than in the AA2024/19vol.% SiCp composite due to the increased dislocation density anticipated in the composite with the greater SiCp content.,0
73,The evaluation of strength using nano-to microscale sized specimen has attracted increasing attention for the development or design of materials [24-28].,0
74,"Fig. 8 (f) gives the kernel average misorientation (KAM) map of the sample, which further indicated that the high level of lattice distortion accompanied by high density of dislocation storage mainly concentrated in the substructure region, especially the subgrain boundaries (indicated by red arrows in Fig. 8(f)).",0
75,"High-temperature phases can reduce diffusion rates, while brittle intermetallic phases that form during cooling can degrade mechanical properties.",1
76,"After the beginning of the generation of oxygen, the heat from the anodic oxide surface is transferred to electrolyte due to the endothermic character of the reaction of anodic oxidation of water molecules with the release of oxygen.",0
77,"The grey phases marked by a2 and a3 in Fig. 4(a1) are Fe-containing phases, such as Al3(Fe,Cu,Mn,Cr) and Al8(Fe,Cu,Mn,Cr)2Si.",0
78,This founding enlightens that tuning and balancing concentration of larger-defects and small-defects by ion irradiation is an effective way to improve the mechanical properties of MGs.,0
79,"However, the fine acicular α' martensite is generally considered to be harder than the α phase.",1
80,"If the zinc-rich phase in Zn55Al resembles Zn4.3Al eutectic in terms of its cathodic activity then the n~2 slope on Zn55Al may be coincidental, arising from the influence of n>2 being counteracted by ESFZ[?",0
81,Energy Mater.,0
82,"Catal., B, 2009, 88, 315-322 CrossRef CAS .",0
83,"Mg is added to Al-Si alloys mainly to improve their mechanical properties through the precipitation of the Mg2Si phase, which changes into a solid solution during the solution treatment and precipitates as small particles during the aging treatment [13].",1
84,"In Conclusion, we outline the key changes in the properties of the system that could be obtained from the dynamics of the shear stress SACF.",0
85,"During the EIS measurement, the AC current prefers to pass through the conductive pathway with less resistance rather than dielectric pathway, which resulted in much lower impedances and the lower phase angles in the high frequency region.",0
86,"To investigate the element distribution, the weld seam was observed by scanning electron microscopy (JSM-5800), equipped with energy dispersive spectrometer (LinkISIS S-530).",0
87,"In contrast, similar to the PM - AC alloys, the finer microstructure seems to control the energy at maximum load of the T6 heat-treated permanent mold cast alloys (A356 PM - T6, Ni PM - T6, V PM - T6) rather than the hardening Mg2Si phase.",1
88,"The addition of Mg gives rise to microstructural refinement and an increment in the formation of β-Al3Mg2 phase, which elevates the barriers to the free movement of dislocations and thus also enhances UTS.",1
89,The grains of the rolled 7005 base metal were elongated in the rolling direction and so exhibit a pancake shape (Fig. 2b).,0
90,"Considering the distortion from the 2H-type (ABAB...) period ordered structure, the present long-period ordered structure of the Mg2Ni phase can be described by a hexagonal lattice with a H = 0.518 nm and c H = 1.324 nm, as shown in Figure 10(b) and the reflections have been indexed accordingly.",0
91,(13)L(34.45wt%Mg)=450degCα(17.07wt%Mg)+Mg28Al45(35.57wt%Mg),0
92,"For LowT-Uni and HighT-Uni, their major strain e1 > 0 and minor strain e2 < 0, so laminate bears tensile stress along the RD and compressive stress along the TD.",0
93,"Furthermore, by increasing the inhibitor concentration, the polarization resistance increases in the electrolyte that positively confirms the adsorption of the inhibitor on the PAS surface blocking the active sites efficiently, and preventing corrosion.",0
94,"Earlier theoretical modelsintroduced negative pressures in the liquid phase under a meniscusdefined by the pore curvature according to the Young-Laplaceequation:(35)Pc*=Pc-2σ/rc(1)where rc is the curvature of the meniscus, and Pc is the pressure of the gaseous phase above the meniscuswithinthe pore.",0
95,"The intermetallics appeared in the microstructure is known to reduce the mechanical properties, especially for the ultimate tensile strength and elongation, and the undissolved π-AlSiMgFe phase after solution treatment will also reduce the Mg content available for the following precipitation hardening.",1
96,"Also, many previous reports showed that addition of Bi into Mg alloys leads to the formation of a thermal-stable Mg3Bi2 phase (melting point 823 degC), which will improve their formability and strength [7-10].",1
97,"However, similar pitting potentials were observed following the passive range of the curves.",0
98,"The fracture toughness is dependent on specimen geometry, microstructure, phase composition, and temperature.",0
99,1031-41.,0
100,Schematic diagram of the experimental VIM furnace.Display full sizeFigure 1.,0
101,The variation in the values of the CPEad could be attributed to surface heterogeneity; due to the variations in the microstructure of the alloy when transforming from solid solution phase (α-phase) to hydride phase (β-phase).,0
102,"This approach is simple, reproduces reasonably well the data on the stationary composition of Au-catalyzed InxGa1-xAs NWs grown by metal organic vapor phase epitaxy (MOVPE) [23] and is easily generalized to describe the interfacial abruptness in axial NW heterostructures [27].",0
103,Chemical compositions of powders and as-deposited Al-Li alloy (wt.,0
104,The main reason for this phenomenon was that the strengthening by grain size reduction in the HAZ.,0
105,"[6,7] Previous studies[8, 9, 10] showed that the quality of sinter is associated with the calcium ferrite-bonding phase due to relatively higher strength and better reducibility.",1
106,"Usually, Tribaloy alloys maintain their strength and hardness from a coarse dispersion of an intermetallic Laves phase in a soft matrix of Co solid solution [4,5].",1
107,"(a) Thermo-Calc; (b) SEM observation with EDX analysisFull size image2D Quantitative Assessment by NIS ElementsThe quantitative assessment (Fig. 6) was focused on area size, length, amount (area fraction in %) of porosity and the Fe-rich intermetallic phases in the needlelike form, due to the fact that nucleation of the Fe-rich phase increases based on oxide films or porosity in castings.Fig.",0
108,"Hiroaki Mamiya Research Center for Advanced Measurement and Characterization, National Institute for Materials Science , Tsukuba 305-0044, Japan https://orcid.org/0000-0002-7840-3008,",0
109,H. KohlmannE-Mail: holger.kohlmann@uni-leipzig.deSearch for more papers by this authorDedicated to Prof.,0
110,"In these alloys, the tetragonal martensitic phase has a higher stability compared with the cubic austenite, this can be explained further based on the DOS structures of them.",0
111,Sound welds obtained showed peak tensile strength of 214 MPa.,0
112,Appl Cata B 220: 234- 250 (2018).,0
113,"The reasons for these observations are rationalized as follows: During oxidation of the alloy sample (C-0), the metal of its outer layer was initially oxidized, so its volume started to expand; the oxide layer grew outward, forming a loose porous scale through which oxygen diffused, forming a porous layer by continuous oxidation.",0
114,"Therefore, FUF, LEF, VUF and VUF + LEF can change the morphology and distribution of Mg17Al12 phase but have no effect on Al4Mn phase.",0
115,"Lu, X. Zhang, M. Liu, J. Chin.",0
116,"The Mg3N2 particles subsequently fall into the Al melt, generating AlN phases by a displacement reaction.",0
117,"There are two types of precipitates in the above three PA samples, dominant needle-shaped β'' phase and lath-shaped Q' phase with small amount.",0
118,"A higher degree of reduction from metal-working helps to increase the composite ductility by reducing the matrix porosity, dispersing the reinforced particles more finely and breaking up the second-phase inclusions to more effectively disperse them.",0
119,"The normal stiffness, Kn approaches infinity when the closure displacement, Un tends to - e. The normal stress is proportional to the normal displacement for small openings (with a proportionality constant K0) and saturates at K0e for large positive openings (never reached in the present simulations).",0
120,"The simulations performed for three phases AlMg (FCC, HCP, γ-phase) confirm the experimental knowledge of the relative stabilities of these phases at different concentrations while also providing information on their temperature-dependence, and the mapping of phase boundaries (for nucleation) on the Al-rich side provides results in a good agreement with experiments.",0
121,Only the η-precipitates described in Table 1 were observed in the present work.,0
122,"At ~ 540 degC the Al8Mn5 phase forms in Alloy 1 and Alloy 2 instead of the Al3Y which forms in Alloy 3 (Fig. 9, #12 and #7 respectively) and",0
123,"Law, K.N., Daud, W.R.W., Ghazali, A.: Morphological and chemical nature of fiber strands of oil palm empty-fruit-bunch (OPEFB), BioResources.",0
124,"Baimova, G.F.",0
125,"On the other hand, post-annealing enhances the materials' structural qualities by reducing the surface roughness and eliminating intrinsic stress which are all characteristic qualities of a good heat transfer material used in the thermal management application.",0
126,"The EDS and SAED results indicated that the particle can be determined as Q phase (Al1.9Mg4.1Si3.3Cu) with a hexagonal crystal structure (a = 10.40 Å, c = 4.05 Å) (Ref 21, 22).",0
127,Fig. 1 shows the microstructure of R-225XE-T4-L3 in the longitudinal (L) and transverse (T) directions.,0
128,The bond strength was significantly improved due to coarser grains in the interface zone of the clads.,0
129,"For example, with a much higher yield stress than A6061, HT780 forces deformation in only the A6061 material during tensile testing, whereas with its lower yield stress, 304SS easily deforms with A6061.",0
130,The increase in nugget hardness is due to the refinement of eutectic Si and Fe-rich phases in A356-F; eutectic Si and Cu phase in 319-F; and both eutectic and primary Si and Cu phase in A390-F.,1
131,The liquid around the AlFe phases will solidify into a structure in which the Al7Cu2Fe phase is attached around or to the gaps of the Al13Fe4 phase and serves as a nucleating core forming a Chinese script-like AlCuFe compound or Al2Cu phase with or without Fe among the grains.,0
132,"The HAADF-STEM images of the main precipitate phases in the crept alloys: (a-b) rod-like Q' phase in A alloy crept for 40 h, (b) is an enlarged part boxed in (a); (c) lath-like C phase in B alloy crept for 72 h. The structural units are superimposed on the precipitates.",0
133,"The stoichiometric coefficients belonging to their respective sublattices are denoted by a and b. In the following, a volume element containing Nα moles per formula unit of phase α is considered.",0
134,"However, dimples and micro-voids were noted in similar Cu-Cu joints indicating ductile failure.",0
135,"In the aluminum matrix of L1 (\( \ifmmode\expandafter\bar\else\expandafter\=\fi{D} \) > 100 μm) powder, perhaps more Al20Cr2Y phase can appear, but θ-Al13Cr2 is not found.",0
136,"Formation of β-phase networks, even with minor fractions of the β-phase, at the grain boundaries in MgAl alloys has been reported to improve the corrosion resistance of the material compared to samples containing β-phase within the grain interiors [41].",1
137,"For the AA7037-T7452 forging plates, variable grain flow led to difficulties in obtaining fatigue pre-cracks that strictly fulfilled the ASTM criteria of being 'in-plane within +- 10deg, but angles within +- 15deg were obtained with this material.",0
138,This precipitation will reduce the available amount of zirconium in SSSS that will precipitate as the fine L12 phase and hence reduce the level of grain control available.,0
139,"Most η phase precipitates have a length of about 100 to 800 nm and a width of about 15 to 90 nm, and there are few precipitates with a length larger than 1 μm.",0
140,"The addition of Mg and Si resulted in much higher microhardness values than the Al-1Fe alloy (29.8 +- 1.7 HV), shown in Figure 6.",0
141,"Mazul, Y.S.",0
142,Matos et al. [24] reported that RPG particles were well-encapsulated into the hydration gel and resulted in a denser microstructure that benefited the durability of concrete.,1
143,"The tensile strength of the sample joints reached a maximum value of 311.4 MPa at 3000 rpm, some 88% of the 5083 aluminum alloy tensile strength.",0
144,"In alloys where the homogeneous nucleation of the hardening-efficient phases is difficult, prior plastic strain can greatly enhance the hardening response.",0
145,"Corrosion resistance of aluminum and its alloys due to the effective passivity in aqueous media can be attributed to a rapidly formed surface amorphous oxide film with about 2-10 nm thickness, which is composed of γ-Al2O3 (boehmite), α-Al(OH)3 (bayerite) and γ-AlOOH (aluminum oxyhydroxide) phase.",1
146,"Therefore, pitting corrosion resistance (ΔE) increases.",0
147,CrossrefCASWeb of Science(r)Google Scholar66W.,0
148,"Because austenite steel has the same F.C.C structure as that of spinel phases and magnetite, the growth stress is negligible.",0
149,"Therefore, addition of strontium (or sodium) is very desirable because it can cause a transition of the eutectic silicon phase from coarse flakes to fine fibers and consequently improve the mechanical properties, especially the ductility [12] and [14].",1
150,"Especially, the yielding stress in TD is even higher than RD.",0
151,Longer times for ageing may lead to decrease the strength and the LCF lifetime.,0
152,"Gao, Strengthening Effects of ZrO2 Nanoparticles on the Microstructure and Microhardness of Sn-3.5Ag Lead-Free Solder.",0
153,In the EBSD phase maps the β-NiAl and σ-Cr2Co phases can be identified and are coloured red and yellow respectively.,0
154,"In the ultimate case where Al had very large thickness, the connecting layers were smooth with no sizable island formations.",0
155,"The increase of η phases would reduce the strengthening effect of GP zones and η' phases, which lead to smaller hardness of the HAZb than that of the BM.",1
156,"Considering the presented XRD results, it can be concluded the impregnated TiO2 amount that exceeds 1mas.% constrains the memory effect of the calcined C-ZnAl and the reconstruction of the layered structure due to the formation of stable ZnO and Zn2TiO4 phases.",0
157,"A hybrid H1-3 phase (Figure 1c) consisting of alternating blocks of O1 and O3 environments has also been observed upon partial delithiation.52-54 In H1-3, Li ions preferentially occupy octahedral sites that retain O3 stacking, leaving alternating layers having O1 stacking empty.",0
158,"It indicates that primary Mn-rich phase dendrites, Mn-rich particles in binary, ternary and quaternary eutectics and divorced Mn-rich phase with fishbone-like shape are the same one of Al-Si-Mn ternary compound.",0
159,"Unfortunately, it was found that TMT was difficult to be performed in large components.",0
160,"In general, the primary β phase has a harmful influence on the mechanical properties compared to the α phases.",1
161,The high dispersion of nucleation sites in this case leads to finely dispersed η' phase particles and consequently to higher strength.,1
162,"Scheil solidification simulation of alloy Al-3 wt.% Si-0.25 ppm P; the normal simulation (all phases are allowed to form, solid lines) is compared to the constrained simulation, suspending the (Si) phase (dashed lines).",0
163,"This behavior was attributed to the coarsening of the θ'-phase, which is a disc-shaped, metastable and semicoherent phase that is primarily responsible for the mechanical properties of the EN AW-2219-T87 alloy [9,5].",1
164,"From Fig. 4b, it can be seen that the Er-rich phase also can restrain the occurrence of the recrystallization.",0
165,"In addition, the toughness index slightly decreased due to the increase in ferrite phase and decreased bainite phase in Alloy 2.",1
166,The peak at 532.5 eV is related to the oxygen defect in ZnAl2O4 crystal.,0
167,"Among the developed Al alloys, Al-Mg alloys are identified as high-performance Al alloys for structural materials in automotive and aircraft applications due to their superior strength, high ductility, good weldability, and excellent corrosion resistance.",0
168,The bond coat oxidation was the limiting factor for the failure of the TBC in that it governed the growth kinetics of TGO and responsible for internal oxidation.,0
169,The manufactured silicon brass castings which contain finer β grains and short rod-like or granular α phase exhibit superior mechanical properties.,1
170,"Comparison of specific (a) 0.2% proof stress and (b) ultimate tensile strength versus percentage elongation for commercial Mg-Li, Mg-based alloy, and high-strength Al wrought alloy4,16,41,42,43,-44",0
171,CrossrefCASWeb of Science(r)Google Scholar5E.,0
172,"[15,16] Because of lower stress concentration with the α phase, it is desirable to control β-phase plates either by converting them to α phase or limiting their growth during solidification to improve mechanical properties.",1
173,"From the engineering viewpoint, the plastic fluctuations are unwelcome due to their unpredictable nature and the possibility for large avalanches to span the whole system size [19].",0
174,"Among the as-received materials, the highest strength was observed in the C35MN alloy, which included a niobium addition; the high strength can, most likely, be attributed to the presence of the Laves phases, which could delay or slow down recrystallization.",1
175,The Zr-based BMGs with these characteristics were expected to be able to expand the application of BMGs in a wide range of different fields.,0
176,The appearance of linear Tafel zone is mainly caused by a large proportion of Fe atoms in the steel matrix.,0
177,"The label 1 marks the heat-affected zone (HAZ), label 2 a transition zone, and label 3 the columnar grain zone, which exhibits a continuous second phase in bright contrast approximately up to the location marked by the dash-dot white line shown in Figs.",0
178,The corrosion current density of amorphous foil and TFMGs was much as ten times slower than that of the AISI 316L plate (Figure 8 and 9).This is due to the unique properties of metallic glass.,0
179,"In addition, the content of austenite phase in PSB1080 steel is the highest about 9% (vol.",0
180,"Consequently, the Ni addition and the formation of NiAl-type intermetallics are believed to be the main contributors to the excellent combination of higher strength and superior ductility, which will be discussed in subsequent sections.",1
181,"The above mentioned two ways of decomposition of the nano-phase ηn' phase, i.e. the continuous precipitation and the eutectoid decomposition, and the decomposition of the transitional ηm' phase were observed in the films of the alloy ZA27 during the early stage of ageing at 220degC.",0
182,"[2] This drawback arises from the heterogeneity of the microstructure generated by welding, as it will be explained in the following discussion.This local disparity of the T1 (Al2CuLi) presence in the nugget is confirmed by the literature data, which report that the density of T1 (Al2CuLi) phases measured by SAXS (small angle x-ray scattering) analyses is more important at the top of the nugget than at its bottom in 15-mm-thick 2050 welds similarly processed, except half penetration.",0
183,"It is can also be seen that Al8Fe2Si or Al8(FeMo)Si-particles refine in their size, suggesting that Mo results in nucleation of the Al8Fe2Si phase.",0
184,"It is closely depend on the intrinsic properties of reinforcement phase and interface bonding strength between reinforcement phase and matrix, and can be analyzed by shear-lag model [26,38].",0
185,"In the sintered-T6 condition, this material was 98.7% of the theoretical maximum.",0
186,"Figure 2 illustrates the FTIR analyses of synthesized Ni3Al-LDH, usually used to indicate the functional and chemical bonds present in a compound.",0
187,CrossrefCASWeb of Science(r)Google Scholar24T.,0
188,"Silicon has been considered to be a promising candidate anode material for next-generation Li-ion batteries, owing to its extremely high theoretic capacity (3579 mAh g-1 for Li3.75Si), relatively low discharge potential (<0.5 V vs.",0
189,"Meanwhile, no α-α' phase separation occurred in the Fe-15Cr-6Al alloy during long-term aging at 475 degC.",0
190,"The values of a, c, and c/a have been given in Table 2.",0
191,"Specifically, the decrease in hardness in eutectic and eutectoid structures has been assumed to be caused by a weaker phase boundary strengthening in eutectic and eutectoid structures at elevated temperatures [83], as phase boundary sliding becomes more active.",0
192,FactSage also provided data on the physical properties of the electrolyte and the molten metal phases including electrical conductivity and density of the molten phases.,0
193,There is a very slow but gradual increase in hardness to Hv [?],0
194,"This is due to high Mg content, which enhances more formation of Mg2Si precipitates, and as these are hard brittle phases, the elongation and toughness seems to be low.",1
195,"-L. Zhang, H. Xia, E. Kim, H.",0
196,The hardness of the MMCs increases with the volume fraction of particulates in the alloy matrix because of the increasing ceramic phase of the matrix alloy.,1
197,"These critical shear stresses are significantly higher than the threshold stress, demonstrating that creep strain of the alloy occurs via the mechanism other than precipitation shearing.",0
198,"However, the Mg2Si phase has a very high melting point and thus these solution temperatures are predicted to have little effect on the dissolution of this phase.",0
199,"Also, a decreasing trend is observed in %elongation exhibiting that Mn-rich (T-phase) precipitates can hinder further plastic deformation from 200 degC to 250 degC.",1
200,"Inset in the micrograph shows the distribution of Al2Cu phase with-in the grains at higher magnification However, in the SEM images of HIPed samples, the distribution of Al2Cu phase is significantly different from that of as-spray-formed deposit (Fig. 7).",0
201,"Moreover, such high content of Si promotes formation of Mg17Al12 phases, leading to poor creep properties.",1
202,It seems like that higher levels of (Ni + Al) can offer higher volume fraction of NiAl-type (β') phase and provide enhanced mechanical properties at elevated temperature.,1
203,"The main crack propagates in the direction of the cleavage ss-Al5FeSi and secondary cracks are also visible around the iron rich platelet, which reveals the brittle nature of the ss-phases and their susceptibility to act as crack initiation sites.",1
204,"Fig. 8a shows a SEM image of the as-cast ALaX431 alloy, wherein the dominant intermetallic phase mainly distributes at grain boundaries and presents acicular or lamellae (Fig. 8b).",0
